name,rung,width,placement,r,k_bwd,seed,N_rung,budgets,iso_flop_rho,tokens_processed,train_flops,card_days,hours_est,status,priority,config,tag
10M_dense_r1_s42,10M,320,dense,1,0,42,15406400,77004800 154009600 308101120 616202240 1232486400,1.0,1463549952,1.813e+17,0.04,1.06,pending,21,configs/runs/10M_dense_r1_s42.yaml,
10M_dense_r1_s43,10M,320,dense,1,0,43,15406400,77004800 154009600 308101120 616202240 1232486400,1.0,1463549952,1.813e+17,0.04,1.06,pending,22,configs/runs/10M_dense_r1_s43.yaml,
10M_dense_r1_s44,10M,320,dense,1,0,44,15406400,77004800 154009600 308101120 616202240 1232486400,1.0,1463549952,1.813e+17,0.04,1.06,pending,23,configs/runs/10M_dense_r1_s44.yaml,
10M_middle_r4_full_s42,10M,320,middle,4,0,42,15406400,154009600 308101120 616202240,1.0,708624384,1.895e+17,0.04,1.05,pending,24,configs/runs/10M_middle_r4_full_s42.yaml,
10M_middle_r4_full_s43,10M,320,middle,4,0,43,15406400,154009600 308101120 616202240,1.0,708624384,1.895e+17,0.04,1.05,pending,25,configs/runs/10M_middle_r4_full_s43.yaml,
10M_middle_r4_full_s44,10M,320,middle,4,0,44,15406400,154009600 308101120 616202240,1.0,708624384,1.895e+17,0.04,1.05,pending,26,configs/runs/10M_middle_r4_full_s44.yaml,
10M_whole_r2_full_s42,10M,320,whole,2,0,42,15406400,154009600 308101120 616202240,1.0,708624384,1.550e+17,0.04,0.87,pending,27,configs/runs/10M_whole_r2_full_s42.yaml,
10M_whole_r2_full_s43,10M,320,whole,2,0,43,15406400,154009600 308101120 616202240,1.0,708624384,1.550e+17,0.04,0.87,pending,28,configs/runs/10M_whole_r2_full_s43.yaml,
10M_whole_r2_full_s44,10M,320,whole,2,0,44,15406400,154009600 308101120 616202240,1.0,708624384,1.550e+17,0.04,0.87,pending,29,configs/runs/10M_whole_r2_full_s44.yaml,
10M_middle_r2_full_s42,10M,320,middle,2,0,42,15406400,154009600 308101120 616202240,1.0,708624384,1.223e+17,0.03,0.71,pending,30,configs/runs/10M_middle_r2_full_s42.yaml,
10M_middle_r2_full_s43,10M,320,middle,2,0,43,15406400,154009600 308101120 616202240,1.0,708624384,1.223e+17,0.03,0.71,pending,31,configs/runs/10M_middle_r2_full_s43.yaml,
10M_middle_r2_full_s44,10M,320,middle,2,0,44,15406400,154009600 308101120 616202240,1.0,708624384,1.223e+17,0.03,0.71,pending,32,configs/runs/10M_middle_r2_full_s44.yaml,
80M_whole_r8_k4_s42,80M,896,whole,8,4,42,92683136,926679040 1376911360 1853358080 2754150400 3707043840 5508300800,1.4858,7631929344,2.370e+19,5.49,88.54,pending,33,configs/runs/80M_whole_r8_k4_s42.yaml,
80M_whole_r8_full_s42,80M,896,whole,8,0,42,92683136,926679040 1853358080 3707043840,1.0,4263051264,1.967e+19,4.55,75.14,pending,34,configs/runs/80M_whole_r8_full_s42.yaml,
80M_middle_r8_k4_s42,80M,896,middle,8,4,42,92683136,926679040 1300889600 1853358080 2601779200 3707043840 5203558400,1.4037,7281508352,1.384e+19,3.2,50.73,pending,35,configs/runs/80M_middle_r8_k4_s42.yaml,
80M_whole_r4_k2_s42,80M,896,whole,4,2,42,92683136,926679040 1364459520 1853358080 2729246720 3707043840 5458493440,1.4724,7574650880,1.209e+19,2.8,45.48,pending,36,configs/runs/80M_whole_r4_k2_s42.yaml,
80M_middle_r8_full_s42,80M,896,middle,8,0,42,92683136,926679040 1853358080 3707043840,1.0,4263051264,1.137e+19,2.63,42.51,pending,37,configs/runs/80M_middle_r8_full_s42.yaml,
80M_whole_r4_full_s42,80M,896,whole,4,0,42,92683136,926679040 1853358080 3707043840,1.0,4263051264,1.002e+19,2.32,38.39,pending,38,configs/runs/80M_whole_r4_full_s42.yaml,
40M_whole_r8_k4_s42,40M,640,whole,8,4,42,50145920,501350400 742809600 1002905600 1485619200 2005811200 2971443200,1.4814,4119142400,6.976e+18,1.61,32.36,pending,39,configs/runs/40M_whole_r8_k4_s42.yaml,
40M_whole_r8_k4_s43,40M,640,whole,8,4,43,50145920,501350400 742809600 1002905600 1485619200 2005811200 2971443200,1.4814,4119142400,6.976e+18,1.61,32.36,pending,40,configs/runs/40M_whole_r8_k4_s43.yaml,
40M_whole_r8_k4_s44,40M,640,whole,8,4,44,50145920,501350400 742809600 1002905600 1485619200 2005811200 2971443200,1.4814,4119142400,6.976e+18,1.61,32.36,pending,41,configs/runs/40M_whole_r8_k4_s44.yaml,
160M_dense_r1_s42,160M,1280,dense,1,0,42,179590400,897581056 1795686400 3591372800 7183269888,1.0,8440197939,1.016e+19,2.35,28.48,pending,42,configs/runs/160M_dense_r1_s42.yaml,
40M_whole_r8_full_s42,40M,640,whole,8,0,42,50145920,501350400 1002905600 2005811200,1.0,2306662400,5.787e+18,1.34,26.47,pending,43,configs/runs/40M_whole_r8_full_s42.yaml,
40M_whole_r8_full_s43,40M,640,whole,8,0,43,50145920,501350400 1002905600 2005811200,1.0,2306662400,5.787e+18,1.34,26.47,pending,44,configs/runs/40M_whole_r8_full_s43.yaml,
40M_whole_r8_full_s44,40M,640,whole,8,0,44,50145920,501350400 1002905600 2005811200,1.0,2306662400,5.787e+18,1.34,26.47,pending,45,configs/runs/40M_whole_r8_full_s44.yaml,
80M_middle_r4_k2_s42,80M,896,middle,4,2,42,92683136,926679040 1240268800 1853358080 2480865280 3707043840 4962058240,1.3385,7003701248,7.936e+18,1.84,23.17,pending,46,configs/runs/80M_middle_r4_k2_s42.yaml,
40M_middle_r8_k4_s42,40M,640,middle,8,4,42,50145920,501350400 700825600 1002905600 1401651200 2005811200 2803302400,1.3976,3925811200,4.089e+18,0.95,18.58,pending,47,configs/runs/40M_middle_r8_k4_s42.yaml,
40M_middle_r8_k4_s43,40M,640,middle,8,4,43,50145920,501350400 700825600 1002905600 1401651200 2005811200 2803302400,1.3976,3925811200,4.089e+18,0.95,18.58,pending,48,configs/runs/40M_middle_r8_k4_s43.yaml,
40M_middle_r8_k4_s44,40M,640,middle,8,4,44,50145920,501350400 700825600 1002905600 1401651200 2005811200 2803302400,1.3976,3925811200,4.089e+18,0.95,18.58,pending,49,configs/runs/40M_middle_r8_k4_s44.yaml,
80M_middle_r4_full_s42,80M,896,middle,4,0,42,92683136,926679040 1853358080 3707043840,1.0,4263051264,6.465e+18,1.5,18.14,pending,50,configs/runs/80M_middle_r4_full_s42.yaml,
80M_dense_r1_s42,80M,896,dense,1,0,42,92683136,463339520 926679040 1853358080 3707043840 7414415360,1.0,8804499456,5.671e+18,1.31,17.95,pending,51,configs/runs/80M_dense_r1_s42.yaml,
40M_whole_r4_k2_s42,40M,640,whole,4,2,42,50145920,501350400 734208000 1002905600 1468416000 2005811200 2936832000,1.4642,4079370240,3.582e+18,0.83,16.71,pending,52,configs/runs/40M_whole_r4_k2_s42.yaml,
40M_whole_r4_k2_s43,40M,640,whole,4,2,43,50145920,501350400 734208000 1002905600 1468416000 2005811200 2936832000,1.4642,4079370240,3.582e+18,0.83,16.71,pending,53,configs/runs/40M_whole_r4_k2_s43.yaml,
40M_whole_r4_k2_s44,40M,640,whole,4,2,44,50145920,501350400 734208000 1002905600 1468416000 2005811200 2936832000,1.4642,4079370240,3.582e+18,0.83,16.71,pending,54,configs/runs/40M_whole_r4_k2_s44.yaml,
80M_whole_r2_full_s42,80M,896,whole,2,0,42,92683136,926679040 1853358080 3707043840,1.0,4263051264,5.198e+18,1.2,15.76,pending,55,configs/runs/80M_whole_r2_full_s42.yaml,
40M_middle_r8_full_s42,40M,640,middle,8,0,42,50145920,501350400 1002905600 2005811200,1.0,2306662400,3.358e+18,0.78,15.02,pending,56,configs/runs/40M_middle_r8_full_s42.yaml,
40M_middle_r8_full_s43,40M,640,middle,8,0,43,50145920,501350400 1002905600 2005811200,1.0,2306662400,3.358e+18,0.78,15.02,pending,57,configs/runs/40M_middle_r8_full_s43.yaml,
40M_middle_r8_full_s44,40M,640,middle,8,0,44,50145920,501350400 1002905600 2005811200,1.0,2306662400,3.358e+18,0.78,15.02,pending,58,configs/runs/40M_middle_r8_full_s44.yaml,
